text,is_retweet,extractedts,sentiment,score
guerra politica economia trattativa aiuti #kiev #ucraina #zelensky,False,2023-02-25,neg,0.5714767
conflitto trattativa politica attacco economia #ucraina #ucraina #russia,True,2023-03-02,neg,0.429029
conflitto guerra aiuti attacco economia #ukraine,True,2023-02-27,neg,0.5484228
economia guerra pace attacco conflitto #ucraina #zelensky #ucraina,True,2023-02-25,neu,0.858474
guerra economia attacco trattativa politica #ucraina #russia,True,2023-02-25,neg,0.5115161
politica trattativa guerra attacco economia #putin,True,2023-02-27,neg,0.773692
conflitto politica trattativa attacco guerra #ucraina #ukraine,True,2023-02-27,pos,0.3988963
attacco politica pace guerra economia #biden #putin,True,2023-03-02,neu,0.3793229
conflitto aiuti politica attacco trattativa #putin #ucraina #ucraina,True,2023-03-04,neg,0.5711888
aiuti guerra attacco conflitto politica #ucraina #ucraina #biden,False,2023-02-25,neg,0.5008316
trattativa pace conflitto economia attacco #putin,False,2023-03-03,neg,0.6503231
conflitto guerra politica attacco aiuti #ucraina #ucraina #ucraina,False,2023-02-25,neg,0.4733133
politica guerra conflitto attacco aiuti #usa #ucraina,True,2023-03-04,neg,0.879069
guerra economia politica aiuti attacco #russia #ucraina #russia,True,2023-02-27,neg,0.8055746
pace aiuti economia guerra conflitto #russia,True,2023-02-28,neg,0.8620829
attacco pace aiuti trattativa economia #putin #kiev,False,2023-03-04,pos,0.8833473
pace trattativa conflitto guerra economia #russia #ucraina #putin,True,2023-02-27,neg,0.6503386
attacco economia conflitto trattativa pace #russia #zelensky,False,2023-03-01,neu,0.3448958
politica trattativa pace aiuti guerra #guerra #ucraina #zelensky,True,2023-03-03,neg,0.908585
politica aiuti conflitto guerra pace #zelensky #putin #ucraina,True,2023-03-03,neg,0.8301064
politica guerra economia attacco conflitto #putin,False,2023-02-28,neu,0.9026319
aiuti politica trattativa attacco conflitto #zelensky,True,2023-02-28,neu,0.7706441
economia conflitto trattativa guerra attacco #ucraina #putin,False,2023-02-25,neu,0.5277644
attacco economia trattativa conflitto aiuti #zelensky,True,2023-02-27,neg,0.7624525
aiuti pace conflitto attacco guerra #zelensky #russia #zelensky,True,2023-03-04,neg,0.4091195
economia politica aiuti conflitto trattativa #russia #ucraina #putin,True,2023-02-25,neg,0.9705652
pace conflitto attacco economia trattativa #russia,True,2023-03-03,neg,0.5351335
guerra aiuti attacco politica pace #putin #russia #ucraina,True,2023-02-27,neg,0.4277874
trattativa pace aiuti politica conflitto #putin #russia,True,2023-03-02,neg,0.6244774
guerra pace attacco trattativa politica #nato #ucraina,False,2023-02-27,neu,0.5913271
economia conflitto pace politica trattativa #russia #ucraina #putin,True,2023-02-27,neg,0.418082
trattativa pace conflitto aiuti attacco #ucraina #ucraina,True,2023-02-25,pos,0.6720221
economia attacco conflitto politica pace #guerra #nato #nato,True,2023-02-26,neg,0.9036726
economia trattativa guerra politica attacco #nato #biden #ucraina,False,2023-02-25,neu,0.8234858
politica aiuti guerra trattativa economia #russia #putin #ucraina,True,2023-02-28,neu,0.7724628
guerra conflitto aiuti politica attacco #putin #ucraina,True,2023-03-04,neg,0.7747786
trattativa politica economia attacco conflitto #usa #ucraina,True,2023-02-27,neg,0.6577692
aiuti politica attacco conflitto pace #russia #nato #ucraina,False,2023-03-03,neg,0.5865697
politica attacco pace guerra conflitto #nato,True,2023-02-28,neu,0.6580642
trattativa aiuti economia guerra attacco #russia #zelensky #russia,False,2023-03-01,neg,0.6970254
attacco aiuti trattativa guerra politica #zelensky,True,2023-03-02,neu,0.9540329
