text,is_retweet,extractedts,sentiment,score
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-02-27,neg,0.6577657
Missili russi colpiscono obiettivi civili. #guerra,True,2023-02-25,neu,0.5917341
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-02-26,pos,0.9477588
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-02,neu,0.3471674
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-03-04,neg,0.8306995
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-04,neg,0.5458101
Il conflitto non ha fine serve diplomazia. #Ucraina,True,2023-03-01,neu,0.8258033
Rischio di escalation nucleare? Preoccupazione globale. #crisi,True,2023-02-28,neg,0.5217017
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-02-28,neg,0.5831341
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-02-25,pos,0.8157692
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-02-26,neu,0.6600322
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-02-27,neu,0.9226706
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-03,neg,0.6773501
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-02-28,pos,0.4890496
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-02-28,pos,0.7837676
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-02-26,neg,0.3916737
Rischio di escalation nucleare? Preoccupazione globale. #crisi,False,2023-03-03,neu,0.6097839
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-25,neu,0.4838498
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-04,pos,0.9441823
Manifestazioni in Italia per la pace. #noallaguerra,True,2023-02-26,neu,0.8838503
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-03-01,pos,0.4705137
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-25,pos,0.4416404
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-03,neg,0.7220012
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-03-04,neg,0.5601681
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-02,neg,0.7696882
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-03-02,pos,0.7664343
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-02,neu,0.4173563
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-03-02,pos,0.8758835
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-03-03,neg,0.5676336
Zelensky chiede più aiuti militari. #UcrainaResiste,True,2023-03-03,pos,0.4780071
Il conflitto non ha fine serve diplomazia. #Ucraina,True,2023-02-28,neg,0.3363085
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,True,2023-02-28,neg,0.9512768
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-03,pos,0.363625
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-02-28,pos,0.8013446
L'invasione dell'Ucraina continua. #pace #Russia,True,2023-02-25,pos,0.4633136
Il conflitto non ha fine serve diplomazia. #Ucraina,False,2023-03-02,neu,0.3575156
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-28,neg,0.7879423
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-26,neu,0.3583574
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-02,pos,0.6768262
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-26,neg,0.7279262
Zelensky chiede più aiuti militari. #UcrainaResiste,False,2023-03-04,neg,0.4123045
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-02,neu,0.599235
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,False,2023-02-28,pos,0.3880509
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-03-04,neg,0.4413987
Missili russi colpiscono obiettivi civili. #guerra,True,2023-03-02,neu,0.7898042
Nuove sanzioni contro la Russia annunciate. #politica,True,2023-02-26,pos,0.4774008
Missili russi colpiscono obiettivi civili. #guerra,False,2023-02-27,pos,0.6425547
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-02-26,neg,0.5451688
L'invasione dell'Ucraina continua. #pace #Russia,False,2023-02-26,neg,0.7886833
Manifestazioni in Italia per la pace. #noallaguerra,False,2023-03-04,neg,0.4499726
Il mondo è diviso sulla risposta al conflitto. #geopolitica,True,2023-03-01,neu,0.7140665
Missili russi colpiscono obiettivi civili. #guerra,False,2023-03-01,neu,0.4897886
La propaganda russa tenta di giustificare l'aggressione. #disinformazione,False,2023-02-27,pos,0.9219262
Il mondo è diviso sulla risposta al conflitto. #geopolitica,False,2023-02-26,pos,0.9389899
Il supporto internazionale all'Ucraina è fondamentale. #solidarietà,True,2023-02-28,neg,0.919757
Nuove sanzioni contro la Russia annunciate. #politica,False,2023-02-28,neu,0.6347188
